Fund,Sharpe Ratio,Alpha,Maximum Drawdown,return_3y,expense_ratio,ReturnRank,SharpeRank,AlphaRank,ExpenseRank,DrawdownRank,Score
Kotak,0.6950969369481778,1.0722797513342652,-0.33429874666118753,19.4,1.3,1.0,1.0,3.0,4.0,2.0,1.95
Axis,0.265456966955413,0.054790316466929063,-0.013923580128646473,15.8,0.9,4.0,3.0,4.0,1.0,1.0,3.0
SBI,-0.6775081862757396,0.01498540406200617,-0.36651701755201316,18.2,1.2,2.0,4.0,5.0,3.0,3.0,3.3499999999999996
Nippon,0.5729150426217546,1.3599262164413748,-0.3996075381332732,,,,2.0,2.0,,4.0,
ICICI,,1.374260788825805,-1.0,17.0,1.1,3.0,,1.0,2.0,5.0,
